taxonid,assessmentid,assessmentyear,species_name,1.4 Forest - Temperate,1.4 Suitability,1.4 Importance,1.5 Forest - Subtropical/Tropical Dry,1.5 Suitability,1.5 Importance,1.6 Forest - Subtropical/Tropical Moist Lowland,1.6 Suitability,1.6 Importance,1.7 Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,1.7 Suitability,1.7 Importance,1.8 Forest - Subtropical/Tropical Swamp,1.8 Suitability,1.8 Importance,1.9 Forest - Subtropical/Tropical Moist Montane,1.9 Suitability,1.9 Importance,3.4 Shrubland - Temperate,3.4 Suitability,3.4 Importance,3.5 Shrubland - Subtropical/Tropical Dry,3.5 Suitability,3.5 Importance,3.7 Shrubland - Subtropical/Tropical High Altitude,3.7 Suitability,3.7 Importance,3.8 Shrubland - Mediterranean-type Shrubby Vegetation,3.8 Suitability,3.8 Importance,4.4 Grassland - Temperate,4.4 Suitability,4.4 Importance,"6 Rocky areas (eg. inland cliffs, mountain peaks)",6 Suitability,6 Importance,7.1 Caves and Subterranean Habitats (non-aquatic) - Caves,7.1 Suitability,7.1 Importance,7.2 Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,7.2 Suitability,7.2 Importance,8.2 Desert - Temperate,8.2 Suitability,8.2 Importance,14.1 Artificial/Terrestrial - Arable Land,14.1 Suitability,14.1 Importance,14.2 Artificial/Terrestrial - Pastureland,14.2 Suitability,14.2 Importance,14.3 Artificial/Terrestrial - Plantations,14.3 Suitability,14.3 Importance,14.4 Artificial/Terrestrial - Rural Gardens,14.4 Suitability,14.4 Importance,14.5 Artificial/Terrestrial - Urban Areas,14.5 Suitability,14.5 Importance,14.6 Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,14.6 Suitability,14.6 Importance,15.8 Artificial/Aquatic - Seasonally Flooded Agricultural Land,15.8 Suitability,15.8 Importance
2155,9300617,2008,Aselliscus stoliczkanus,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,1,Marginal,0,0,,,1,Marginal,0,0,,,0,,,1,Marginal,0,0,,
4316,22018444,2018,Chaerephon plicatus,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,1,Unknown,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,1,Suitable,0,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0
10110,22097743,2018,Hipposideros armiger,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,1,Unknown,0,0,,,0,,,0,,
10136,22090092,2018,Hipposideros galeritus,0,,,1,Suitable,0,1,Suitable,0,1,Marginal,0,1,Marginal,0,1,Unknown,0,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,1,Suitable,1,0,,,0,,,0,,,1,Marginal,0,1,Unknown,0,0,,,0,,,0,,
180991219,180991293,2020,Hipposideros gentilis,0,,,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,0,,,0,,,1,Marginal,0,1,Marginal,0,0,,,0,,
85646564,22091287,2020,Hipposideros larvatus,0,,,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,0,,,1,Marginal,0,1,Marginal,0,1,Marginal,0,1,Marginal,0,0,,,0,,,0,,
10145,22100391,2018,Hipposideros lylei,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,1,Marginal,0,0,,,0,,,1,Marginal,0,0,,
10155,22102257,2018,Hipposideros pratti,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
14919,22016159,2016,Nyctalus leisleri,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,1,Marginal,0,0,,,0,,
19520,21974227,2018,Rhinolophus acuminatus,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Marginal,0,0,,,0,,
19522,21982358,2019,Rhinolophus affinis,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,1,Unknown,0,1,Suitable,0,1,Unknown,0,0,,,0,,
19527,21982599,2018,Rhinolophus borneensis,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19530,8955306,2008,Rhinolophus celebensis,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19532,21980746,2019,Rhinolophus coelophyllus,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19535,21981495,2018,Rhinolophus creaghi,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19517,21973253,2016,Rhinolophus ferrumequinum,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,0,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,1,Marginal,0,0,,,0,,
19518,21972794,2016,Rhinolophus hipposideros,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,0,1,Suitable,0,1,Suitable,0,1,Suitable,0,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,
19547,21977419,2018,Rhinolophus lepidus,1,Suitable,1,1,Suitable,0,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,1,Unknown,0,0,,,0,,,0,,
19548,21977086,2018,Rhinolophus luctus,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19550,21978583,2018,Rhinolophus macrotis,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19551,21978424,2018,Rhinolophus malayanus,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,1,Suitable,0,1,Suitable,0,0,,,1,Marginal,0,0,,
19552,21978274,2018,Rhinolophus marshalli,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,0,0,,,1,Suitable,0,0,,
19559,21993105,2018,Rhinolophus pearsonii,1,Suitable,1,0,,,1,Suitable,0,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,1,Marginal,0,1,Marginal,0,1,Marginal,0,1,Unknown,0,0,,,0,,,0,,
85707059,21994916,2018,Rhinolophus pusillus,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19562,21994639,2018,Rhinolophus rex,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
84379218,21995537,2018,Rhinolophus rouxii,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19565,21994153,2018,Rhinolophus sedulus,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19566,21993823,2019,Rhinolophus shameli,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Marginal,0,0,,
136631,21987430,2018,Rhinolophus shortridgei,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
136651,21990143,2018,Rhinolophus siamensis,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
41529,22005184,2018,Rhinolophus sinicus,1,Suitable,1,1,Suitable,1,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
84383122,21991664,2018,Rhinolophus stheno,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,
19573,21990671,2018,Rhinolophus thomasi,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,1,Suitable,0,1,Suitable,0,0,,,1,Marginal,0,0,,
19574,21990821,2019,Rhinolophus trifoliatus,0,,,0,,,1,Suitable,1,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Unknown,0,0,,,0,,,1,Unknown,0,0,,
19576,21991423,2018,Rhinolophus yunanensis,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,1,Unknown,0,0,,,0,,,0,,
21311,22114995,2016,Tadarida teniotis,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,1,Suitable,0,1,Suitable,0,1,Suitable,0,1,Suitable,0,1,Suitable,0,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,
